GEO,year,Total_Population,Population_0_14,Population_15_more,labour_force,inactive_adults,employment,unemployment,parttime,fulltime
Alberta,1976-01,,,,,,,,,
Alberta,1976-02,,,,,,,,,
Alberta,1976-03,,,,,,,,,
Alberta,1976-04,,,,,,,,,
Alberta,1976-05,,,,,,,,,
Alberta,1976-06,,,,,,,,,
Alberta,1976-07,,,,,,,,,
Alberta,1976-08,,,,,,,,,
Alberta,1976-09,,,,,,,,,
Alberta,1976-10,,,,,,,,,
Alberta,1976-11,,,,,,,,,
Alberta,1976-12,,,,,,,,,
Alberta,1977-01,,,,,,,,,
Alberta,1977-02,,,,,,,,,
Alberta,1977-03,,,,,,,,,
Alberta,1977-04,,,,,,,,,
Alberta,1977-05,,,,,,,,,
Alberta,1977-06,,,,,,,,,
Alberta,1977-07,,,,,,,,,
Alberta,1977-08,,,,,,,,,
Alberta,1977-09,,,,,,,,,
Alberta,1977-10,,,,,,,,,
Alberta,1977-11,,,,,,,,,
Alberta,1977-12,,,,,,,,,
Alberta,1978-01,,,,,,,,,
Alberta,1978-02,,,,,,,,,
Alberta,1978-03,,,,,,,,,
Alberta,1978-04,,,,,,,,,
Alberta,1978-05,,,,,,,,,
Alberta,1978-06,,,,,,,,,
Alberta,1978-07,,,,,,,,,
Alberta,1978-08,,,,,,,,,
Alberta,1978-09,,,,,,,,,
Alberta,1978-10,,,,,,,,,
Alberta,1978-11,,,,,,,,,
Alberta,1978-12,,,,,,,,,
Alberta,1979-01,,,,,,,,,
Alberta,1979-02,,,,,,,,,
Alberta,1979-03,,,,,,,,,
Alberta,1979-04,,,,,,,,,
Alberta,1979-05,,,,,,,,,
Alberta,1979-06,,,,,,,,,
Alberta,1979-07,,,,,,,,,
Alberta,1979-08,,,,,,,,,
Alberta,1979-09,,,,,,,,,
Alberta,1979-10,,,,,,,,,
Alberta,1979-11,,,,,,,,,
Alberta,1979-12,,,,,,,,,
Alberta,1980-01,,,,,,,,,
Alberta,1980-02,,,,,,,,,
Alberta,1980-03,,,,,,,,,
Alberta,1980-04,,,,,,,,,
Alberta,1980-05,,,,,,,,,
Alberta,1980-06,,,,,,,,,
Alberta,1980-07,,,,,,,,,
Alberta,1980-08,,,,,,,,,
Alberta,1980-09,,,,,,,,,
Alberta,1980-10,,,,,,,,,
Alberta,1980-11,,,,,,,,,
Alberta,1980-12,,,,,,,,,
Alberta,1981-01,,,,,,,,,
Alberta,1981-02,,,,,,,,,
Alberta,1981-03,,,,,,,,,
Alberta,1981-04,,,,,,,,,
Alberta,1981-05,,,,,,,,,
Alberta,1981-06,,,,,,,,,
Alberta,1981-07,,,,,,,,,
Alberta,1981-08,,,,,,,,,
Alberta,1981-09,,,,,,,,,
Alberta,1981-10,,,,,,,,,
Alberta,1981-11,,,,,,,,,
Alberta,1981-12,,,,,,,,,
Alberta,1982-01,,,,,,,,,
Alberta,1982-02,,,,,,,,,
Alberta,1982-03,,,,,,,,,
Alberta,1982-04,,,,,,,,,
Alberta,1982-05,,,,,,,,,
Alberta,1982-06,,,,,,,,,
Alberta,1982-07,,,,,,,,,
Alberta,1982-08,,,,,,,,,
Alberta,1982-09,,,,,,,,,
Alberta,1982-10,,,,,,,,,
Alberta,1982-11,,,,,,,,,
Alberta,1982-12,,,,,,,,,
Alberta,1983-01,,,,,,,,,
Alberta,1983-02,,,,,,,,,
Alberta,1983-03,,,,,,,,,
Alberta,1983-04,,,,,,,,,
Alberta,1983-05,,,,,,,,,
Alberta,1983-06,,,,,,,,,
Alberta,1983-07,,,,,,,,,
Alberta,1983-08,,,,,,,,,
Alberta,1983-09,,,,,,,,,
Alberta,1983-10,,,,,,,,,
Alberta,1983-11,,,,,,,,,
Alberta,1983-12,,,,,,,,,
Alberta,1984-01,,,,,,,,,
Alberta,1984-02,,,,,,,,,
Alberta,1984-03,,,,,,,,,
Alberta,1984-04,,,,,,,,,
Alberta,1984-05,,,,,,,,,
Alberta,1984-06,,,,,,,,,
Alberta,1984-07,,,,,,,,,
Alberta,1984-08,,,,,,,,,
Alberta,1984-09,,,,,,,,,
Alberta,1984-10,,,,,,,,,
Alberta,1984-11,,,,,,,,,
Alberta,1984-12,,,,,,,,,
Alberta,1985-01,,,,,,,,,
Alberta,1985-02,,,,,,,,,
Alberta,1985-03,,,,,,,,,
Alberta,1985-04,,,,,,,,,
Alberta,1985-05,,,,,,,,,
Alberta,1985-06,,,,,,,,,
Alberta,1985-07,,,,,,,,,
Alberta,1985-08,,,,,,,,,
Alberta,1985-09,,,,,,,,,
Alberta,1985-10,,,,,,,,,
Alberta,1985-11,,,,,,,,,
Alberta,1985-12,,,,,,,,,
Alberta,1986-01,,,,,,,,,
Alberta,1986-02,,,,,,,,,
Alberta,1986-03,,,,,,,,,
Alberta,1986-04,,,,,,,,,
Alberta,1986-05,,,,,,,,,
Alberta,1986-06,,,,,,,,,
Alberta,1986-07,,,,,,,,,
Alberta,1986-08,,,,,,,,,
Alberta,1986-09,,,,,,,,,
Alberta,1986-10,,,,,,,,,
Alberta,1986-11,,,,,,,,,
Alberta,1986-12,,,,,,,,,
Alberta,1987-01,,,,,,,,,
Alberta,1987-02,,,,,,,,,
Alberta,1987-03,,,,,,,,,
Alberta,1987-04,,,,,,,,,
Alberta,1987-05,,,,,,,,,
Alberta,1987-06,,,,,,,,,
Alberta,1987-07,,,,,,,,,
Alberta,1987-08,,,,,,,,,
