GEO,year,variable,value
Alberta,1976,employment,989028.9849315672
Alberta,1977,employment,1036455.5308368471
Alberta,1978,employment,1095499.8735212386
Alberta,1979,employment,1172576.7513469902
Alberta,1980,employment,1245901.3443183107
Alberta,1981,employment,1333987.0511459871
Alberta,1982,employment,1317648.9608583406
Alberta,1983,employment,1281357.2528014556
Alberta,1984,employment,1283781.6335961546
Alberta,1985,employment,1323013.1763323797
Alberta,1986,employment,1339068.2439372127
Alberta,1987,employment,1346667.8309780264
Alberta,1988,employment,1387927.819459711
Alberta,1989,employment,1424308.218257448
Alberta,1990,employment,1452997.6113328189
Alberta,1991,employment,1459413.0833214456
Alberta,1992,employment,1454976.8838537524
Alberta,1993,employment,1463431.1312916982
Alberta,1994,employment,1503169.6074147553
Alberta,1995,employment,1547725.8463684765
Alberta,1996,employment,1590634.5678815157
Alberta,1997,employment,1641681.2465277913
Alberta,1998,employment,1703512.0860811062
Alberta,1999,employment,1737924.0945756144
Alberta,2000,employment,1776788.12351441
Alberta,2001,employment,1822474.2838712863
Alberta,2002,employment,1868607.7381812688
Alberta,2003,employment,1925375.5887939124
Alberta,2004,employment,1973570.7437471624
Alberta,2005,employment,2020518.6320237464
Alberta,2006,employment,2121145.249028824
Alberta,2007,employment,2203597.2024641447
Alberta,2008,employment,2258367.4015567363
Alberta,2009,employment,2236325.21470058
Alberta,2010,employment,2232939.114891048
Alberta,2011,employment,2313758.664433056
Alberta,2012,employment,2387069.7712967824
Alberta,2013,employment,2438854.4527861327
Alberta,2014,employment,2483131.0048292265
Alberta,2015,employment,2511018.9934870694
Alberta,2016,employment,2445210.0610166425
Alberta,2017,employment,2461263.697042203
Alberta,2018,employment,2521843.769800226
Alberta,2019,employment,2545783.8744011237
Alberta,2020,employment,2360719.1458355607
Alberta,2021,employment,2481461.666420532
Alberta,2022,employment,2608213.287237033
Alberta,2023,employment,2729560.9393486297
British Columbia,1976,employment,1203087.2707544656
British Columbia,1977,employment,1230065.6948576286
British Columbia,1978,employment,1281771.7715362608
British Columbia,1979,employment,1332559.666244594
British Columbia,1980,employment,1416576.083986718
British Columbia,1981,employment,1474650.6988691438
British Columbia,1982,employment,1399690.2843626211
British Columbia,1983,employment,1386289.6727531066
British Columbia,1984,employment,1385510.7648942985
British Columbia,1985,employment,1422396.875237094
British Columbia,1986,employment,1481377.71622509
British Columbia,1987,employment,1534407.7027082115
British Columbia,1988,employment,1602212.0325031006
British Columbia,1989,employment,1688242.155688623
British Columbia,1990,employment,1749727.8339705274
British Columbia,1991,employment,1765743.881299948
British Columbia,1992,employment,1808926.5609435784
British Columbia,1993,employment,1863214.425050532
British Columbia,1994,employment,1946292.486355316
British Columbia,1995,employment,1991469.995202948
British Columbia,1996,employment,2022016.7905314236
British Columbia,1997,employment,2069750.489666586
British Columbia,1998,employment,2064009.4346594303
British Columbia,1999,employment,2102256.3390038847
British Columbia,2000,employment,2139190.6094415924
British Columbia,2001,employment,2125831.134418065
British Columbia,2002,employment,2154949.9432877856
British Columbia,2003,employment,2202951.0957118534
British Columbia,2004,employment,2234648.316081832
British Columbia,2005,employment,2297666.2155644507
British Columbia,2006,employment,2362887.3237704225
British Columbia,2007,employment,2421754.928945624
British Columbia,2008,employment,2454830.233036658
British Columbia,2009,employment,2406570.82564041
British Columbia,2010,employment,2426167.1401625774
British Columbia,2011,employment,2436353.4694515187
British Columbia,2012,employment,2506853.139287919
British Columbia,2013,employment,2531818.3175868043
British Columbia,2014,employment,2564145.853451723
British Columbia,2015,employment,2598392.224216624
British Columbia,2016,employment,2695259.892789038
British Columbia,2017,employment,2795785.1979281115
British Columbia,2018,employment,2846701.1718995525
British Columbia,2019,employment,2922201.638581445
British Columbia,2020,employment,2738413.350023257
British Columbia,2021,employment,2905443.9803515114
British Columbia,2022,employment,3023974.436869129
British Columbia,2023,employment,3136142.344675884
Manitoba,1976,employment,501395.6574430824
Manitoba,1977,employment,504508.92606222816
Manitoba,1978,employment,511445.81645003473
Manitoba,1979,employment,522777.66984650935
Manitoba,1980,employment,530249.2466712694
Manitoba,1981,employment,536508.7076088969
Manitoba,1982,employment,526332.1258164835
Manitoba,1983,employment,534881.5986318804
Manitoba,1984,employment,548062.0049649625
Manitoba,1985,employment,556479.2060634918
Manitoba,1986,employment,572956.787859844
Manitoba,1987,employment,578139.2730744166
Manitoba,1988,employment,579387.1390745945
Manitoba,1989,employment,587374.6651503025
Manitoba,1990,employment,588506.8139767661
Manitoba,1991,employment,580855.8900673859
Manitoba,1992,employment,573478.7709311799
Manitoba,1993,employment,578688.9438923374
Manitoba,1994,employment,584319.8863595464
Manitoba,1995,employment,595861.3523826603
Manitoba,1996,employment,598403.5583563981
Manitoba,1997,employment,607140.2715578189
Manitoba,1998,employment,618567.8648238333
Manitoba,1999,employment,627029.0999941197
Manitoba,2000,employment,638543.5119661948
Manitoba,2001,employment,639635.6498898657
Manitoba,2002,employment,654633.2101422626
Manitoba,2003,employment,657400.423721497
Manitoba,2004,employment,663124.8688193265
Manitoba,2005,employment,666323.9755622288
Manitoba,2006,employment,673078.1273309916
Manitoba,2007,employment,682745.1895559324
Manitoba,2008,employment,692892.4908038585
Manitoba,2009,employment,689085.2930587989
Manitoba,2010,employment,699179.0707559449
Manitoba,2011,employment,705541.2780675609
Manitoba,2012,employment,711238.7604858058
Manitoba,2013,employment,718483.4301253128
Manitoba,2014,employment,720778.210102464
Manitoba,2015,employment,733804.743014628
Manitoba,2016,employment,734109.8177021149
Manitoba,2017,employment,745938.5902901611
Manitoba,2018,employment,753176.651908793
Manitoba,2019,employment,762906.4996434894
Manitoba,2020,employment,729935.0488574997
Manitoba,2021,employment,761726.0524764245
Manitoba,2022,employment,790140.9988327915
Manitoba,2023,employment,815461.8675114134
New Brunswick,1976,employment,266997.0213214823
New Brunswick,1977,employment,262796.492317096
New Brunswick,1978,employment,274864.83079828846
New Brunswick,1979,employment,287039.7662859212
New Brunswick,1980,employment,290818.0340117271
New Brunswick,1981,employment,294556.08058667096
New Brunswick,1982,employment,282480.8092692191
New Brunswick,1983,employment,284712.5873634577
New Brunswick,1984,employment,288703.9505070239
New Brunswick,1985,employment,295340.0897231261
New Brunswick,1986,employment,305056.5972863082
New Brunswick,1987,employment,314919.44342941704
New Brunswick,1988,employment,326316.30350194545
New Brunswick,1989,employment,333069.2468523182
New Brunswick,1990,employment,335886.5939408138
New Brunswick,1991,employment,329896.8218226045
New Brunswick,1992,employment,331165.8647335356
New Brunswick,1993,employment,333818.3208130547
New Brunswick,1994,employment,331757.9821571086
New Brunswick,1995,employment,341561.10008089355
New Brunswick,1996,employment,339970.2558379364
New Brunswick,1997,employment,344208.2784863527
New Brunswick,1998,employment,350650.4982314797
New Brunswick,1999,employment,361226.84884599247
New Brunswick,2000,employment,366902.1597013262
New Brunswick,2001,employment,365061.7584410171
New Brunswick,2002,employment,377167.6385154799
New Brunswick,2003,employment,376122.08916388144
New Brunswick,2004,employment,383160.2264096385
New Brunswick,2005,employment,380820.9905034151
New Brunswick,2006,employment,383863.5295168226
New Brunswick,2007,employment,392470.1372143082
New Brunswick,2008,employment,396387.2379626217
New Brunswick,2009,employment,396645.6663499905
New Brunswick,2010,employment,393511.1615436513
New Brunswick,2011,employment,390470.04347826086
New Brunswick,2012,employment,388579.00920642976
New Brunswick,2013,employment,390822.5952047579
New Brunswick,2014,employment,390705.7246845552
New Brunswick,2015,employment,388844.9290613287
New Brunswick,2016,employment,392064.243380155
New Brunswick,2017,employment,394813.5546283744
New Brunswick,2018,employment,396037.3742950974
New Brunswick,2019,employment,398146.6018801868
New Brunswick,2020,employment,386851.70775849855
New Brunswick,2021,employment,401013.8377021679
New Brunswick,2022,employment,413068.63351527706
New Brunswick,2023,employment,423981.1841910129
Newfoundland and Labrador,1976,employment,187886.5023156475
Newfoundland and Labrador,1977,employment,189049.48172757475
Newfoundland and Labrador,1978,employment,194264.35756359357
Newfoundland and Labrador,1979,employment,205699.4750386001
Newfoundland and Labrador,1980,employment,211126.27959390008
Newfoundland and Labrador,1981,employment,215022.05757305512
Newfoundland and Labrador,1982,employment,207082.53662436703
Newfoundland and Labrador,1983,employment,205919.9932334461
Newfoundland and Labrador,1984,employment,203113.11301785748
Newfoundland and Labrador,1985,employment,206548.0959491221
Newfoundland and Labrador,1986,employment,210119.9257105816
Newfoundland and Labrador,1987,employment,212843.6647416888
Newfoundland and Labrador,1988,employment,223177.4352349642
Newfoundland and Labrador,1989,employment,230787.3732925196
Newfoundland and Labrador,1990,employment,230395.267170655
Newfoundland and Labrador,1991,employment,227911.4103573705
Newfoundland and Labrador,1992,employment,215761.40484429064
Newfoundland and Labrador,1993,employment,214254.1645508716
Newfoundland and Labrador,1994,employment,213159.7195078956
Newfoundland and Labrador,1995,employment,213929.24037313432
Newfoundland and Labrador,1996,employment,207217.19745713373
Newfoundland and Labrador,1997,employment,207075.9988622573
Newfoundland and Labrador,1998,employment,210791.5087638465
Newfoundland and Labrador,1999,employment,219690.58352982104
Newfoundland and Labrador,2000,employment,215823.3796583851
Newfoundland and Labrador,2001,employment,220449.7187115426
Newfoundland and Labrador,2002,employment,223458.01216721116
Newfoundland and Labrador,2003,employment,227065.22974028508
Newfoundland and Labrador,2004,employment,230204.34785321527
Newfoundland and Labrador,2005,employment,229204.422134588
Newfoundland and Labrador,2006,employment,230666.1031059063
Newfoundland and Labrador,2007,employment,234075.55023998432
Newfoundland and Labrador,2008,employment,237622.2352322524
Newfoundland and Labrador,2009,employment,231760.8222958908
Newfoundland and Labrador,2010,employment,241323.60514481703
Newfoundland and Labrador,2011,employment,250068.12007944763
Newfoundland and Labrador,2012,employment,256997.3140598532
Newfoundland and Labrador,2013,employment,259223.28840566127
Newfoundland and Labrador,2014,employment,256281.74943925237
Newfoundland and Labrador,2015,employment,257041.3825142729
Newfoundland and Labrador,2016,employment,251859.9463235841
Newfoundland and Labrador,2017,employment,242440.92932789848
Newfoundland and Labrador,2018,employment,243461.45617373785
Newfoundland and Labrador,2019,employment,247842.307761328
Newfoundland and Labrador,2020,employment,231912.11783409707
Newfoundland and Labrador,2021,employment,240944.26454679872
Newfoundland and Labrador,2022,employment,251971.835504432
Newfoundland and Labrador,2023,employment,256646.06778910055
Nova Scotia,1976,employment,345249.8757403979
Nova Scotia,1977,employment,344250.4414035869
Nova Scotia,1978,employment,352337.939480676
Nova Scotia,1979,employment,364458.03659621504
Nova Scotia,1980,employment,371248.3022235225
Nova Scotia,1981,employment,374854.0085879874
Nova Scotia,1982,employment,364872.8593982025
Nova Scotia,1983,employment,367562.71548143966
Nova Scotia,1984,employment,384367.48107261496
Nova Scotia,1985,employment,388776.3626161232
Nova Scotia,1986,employment,395564.3590756469
Nova Scotia,1987,employment,404854.622829909
Nova Scotia,1988,employment,421053.0702053128
Nova Scotia,1989,employment,430674.01980436855
Nova Scotia,1990,employment,434642.3813412404
Nova Scotia,1991,employment,428439.3311536001
Nova Scotia,1992,employment,414968.8867766844
Nova Scotia,1993,employment,411857.088236326
Nova Scotia,1994,employment,418101.3567773152
Nova Scotia,1995,employment,421475.8066233135
Nova Scotia,1996,employment,422553.23409639945
Nova Scotia,1997,employment,427694.9285493562
Nova Scotia,1998,employment,442441.0992815601
Nova Scotia,1999,employment,450479.313626107
Nova Scotia,2000,employment,457397.1072350692
Nova Scotia,2001,employment,460240.5511095638
Nova Scotia,2002,employment,467395.4808657256
Nova Scotia,2003,employment,475845.00763612223
Nova Scotia,2004,employment,486222.3200562891
Nova Scotia,2005,employment,485635.3768373092
Nova Scotia,2006,employment,483351.0626724692
Nova Scotia,2007,employment,488742.0608403947
Nova Scotia,2008,employment,493583.79977421
Nova Scotia,2009,employment,491731.8168601826
Nova Scotia,2010,employment,493646.06350876816
Nova Scotia,2011,employment,496207.3033054228
Nova Scotia,2012,employment,499641.98922892805
Nova Scotia,2013,employment,496592.4430883865
Nova Scotia,2014,employment,488605.3307963596
Nova Scotia,2015,employment,485391.8877314566
Nova Scotia,2016,employment,484658.8953637159
Nova Scotia,2017,employment,490413.83046760986
Nova Scotia,2018,employment,495832.54026996746
Nova Scotia,2019,employment,510604.3564139415
Nova Scotia,2020,employment,488898.1968983519
Nova Scotia,2021,employment,517991.85024198703
Nova Scotia,2022,employment,538002.8929903206
Nova Scotia,2023,employment,566860.4156393096
Ontario,1976,employment,4219229.382975465
Ontario,1977,employment,4269720.758266514
Ontario,1978,employment,4391176.145273668
