GEO,year,variable,value
Alberta,1976,Population_0_14,343036.0
Alberta,1977,Population_0_14,344571.0
Alberta,1978,Population_0_14,345699.0
Alberta,1979,Population_0_14,349992.0
Alberta,1980,Population_0_14,360128.0
Alberta,1981,Population_0_14,371817.0
Alberta,1982,Population_0_14,381050.0
Alberta,1983,Population_0_14,385929.0
Alberta,1984,Population_0_14,385765.0
Alberta,1985,Population_0_14,384229.0
Alberta,1986,Population_0_14,383621.0
Alberta,1987,Population_0_14,383440.0
Alberta,1988,Population_0_14,382814.0
Alberta,1989,Population_0_14,388490.0
Alberta,1990,Population_0_14,395155.0
Alberta,1991,Population_0_14,400358.0
Alberta,1992,Population_0_14,407328.0
Alberta,1993,Population_0_14,412108.0
Alberta,1994,Population_0_14,413624.0
Alberta,1995,Population_0_14,412458.0
Alberta,1996,Population_0_14,412073.0
Alberta,1997,Population_0_14,412660.0
Alberta,1998,Population_0_14,414765.0
Alberta,1999,Population_0_14,415510.0
Alberta,2000,Population_0_14,416708.0
Alberta,2001,Population_0_14,416172.0
Alberta,2002,Population_0_14,419734.0
Alberta,2003,Population_0_14,422753.0
Alberta,2004,Population_0_14,424676.0
Alberta,2005,Population_0_14,429538.0
Alberta,2006,Population_0_14,437694.0
Alberta,2007,Population_0_14,445369.0
Alberta,2008,Population_0_14,453440.0
Alberta,2009,Population_0_14,461671.0
Alberta,2010,Population_0_14,468309.0
Alberta,2011,Population_0_14,473459.0
Alberta,2012,Population_0_14,481678.0
Alberta,2013,Population_0_14,491839.0
Alberta,2014,Population_0_14,501828.0
Alberta,2015,Population_0_14,509665.0
Alberta,2016,Population_0_14,518900.0
Alberta,2017,Population_0_14,526888.0
Alberta,2018,Population_0_14,534835.0
Alberta,2019,Population_0_14,541729.0
Alberta,2020,Population_0_14,545969.0
Alberta,2021,Population_0_14,542259.0
Alberta,2022,Population_0_14,543265.0
Alberta,2023,Population_0_14,552145.0
British Columbia,1976,Population_0_14,407970.0
British Columbia,1977,Population_0_14,401106.0
British Columbia,1978,Population_0_14,394302.0
British Columbia,1979,Population_0_14,392569.0
British Columbia,1980,Population_0_14,398164.0
British Columbia,1981,Population_0_14,406140.0
British Columbia,1982,Population_0_14,411160.0
British Columbia,1983,Population_0_14,413407.0
British Columbia,1984,Population_0_14,413581.0
British Columbia,1985,Population_0_14,410703.0
British Columbia,1986,Population_0_14,405582.0
British Columbia,1987,Population_0_14,407947.0
British Columbia,1988,Population_0_14,413654.0
British Columbia,1989,Population_0_14,423125.0
British Columbia,1990,Population_0_14,434230.0
British Columbia,1991,Population_0_14,444184.0
British Columbia,1992,Population_0_14,459306.0
British Columbia,1993,Population_0_14,473453.0
British Columbia,1994,Population_0_14,485248.0
British Columbia,1995,Population_0_14,493739.0
British Columbia,1996,Population_0_14,499537.0
British Columbia,1997,Population_0_14,501766.0
British Columbia,1998,Population_0_14,497057.0
British Columbia,1999,Population_0_14,490423.0
British Columbia,2000,Population_0_14,483351.0
British Columbia,2001,Population_0_14,476998.0
British Columbia,2002,Population_0_14,472372.0
British Columbia,2003,Population_0_14,470176.0
British Columbia,2004,Population_0_14,467435.0
British Columbia,2005,Population_0_14,465632.0
British Columbia,2006,Population_0_14,465216.0
British Columbia,2007,Population_0_14,466422.0
British Columbia,2008,Population_0_14,467456.0
British Columbia,2009,Population_0_14,468150.0
British Columbia,2010,Population_0_14,467266.0
British Columbia,2011,Population_0_14,463169.0
British Columbia,2012,Population_0_14,459565.0
British Columbia,2013,Population_0_14,457716.0
British Columbia,2014,Population_0_14,457978.0
British Columbia,2015,Population_0_14,460014.0
British Columbia,2016,Population_0_14,466179.0
British Columbia,2017,Population_0_14,470694.0
British Columbia,2018,Population_0_14,475369.0
British Columbia,2019,Population_0_14,480619.0
British Columbia,2020,Population_0_14,484863.0
British Columbia,2021,Population_0_14,485173.0
British Columbia,2022,Population_0_14,487520.0
British Columbia,2023,Population_0_14,488733.0
Manitoba,1976,Population_0_14,180697.0
Manitoba,1977,Population_0_14,176897.0
Manitoba,1978,Population_0_14,172410.0
Manitoba,1979,Population_0_14,166790.0
Manitoba,1980,Population_0_14,161959.0
Manitoba,1981,Population_0_14,159613.0
Manitoba,1982,Population_0_14,160268.0
Manitoba,1983,Population_0_14,161567.0
Manitoba,1984,Population_0_14,162194.0
Manitoba,1985,Population_0_14,162212.0
Manitoba,1986,Population_0_14,161173.0
Manitoba,1987,Population_0_14,161992.0
Manitoba,1988,Population_0_14,162007.0
Manitoba,1989,Population_0_14,161807.0
Manitoba,1990,Population_0_14,161491.0
Manitoba,1991,Population_0_14,161293.0
Manitoba,1992,Population_0_14,162152.0
Manitoba,1993,Population_0_14,163022.0
Manitoba,1994,Population_0_14,163837.0
Manitoba,1995,Population_0_14,163895.0
Manitoba,1996,Population_0_14,163205.0
Manitoba,1997,Population_0_14,161537.0
Manitoba,1998,Population_0_14,159767.0
Manitoba,1999,Population_0_14,158435.0
Manitoba,2000,Population_0_14,157691.0
Manitoba,2001,Population_0_14,156501.0
Manitoba,2002,Population_0_14,155974.0
Manitoba,2003,Population_0_14,155948.0
Manitoba,2004,Population_0_14,156378.0
Manitoba,2005,Population_0_14,155062.0
Manitoba,2006,Population_0_14,154057.0
Manitoba,2007,Population_0_14,153984.0
Manitoba,2008,Population_0_14,154941.0
Manitoba,2009,Population_0_14,155878.0
Manitoba,2010,Population_0_14,157297.0
Manitoba,2011,Population_0_14,157999.0
Manitoba,2012,Population_0_14,159339.0
Manitoba,2013,Population_0_14,160383.0
Manitoba,2014,Population_0_14,161792.0
Manitoba,2015,Population_0_14,162613.0
Manitoba,2016,Population_0_14,164988.0
Manitoba,2017,Population_0_14,166817.0
Manitoba,2018,Population_0_14,168763.0
Manitoba,2019,Population_0_14,170341.0
Manitoba,2020,Population_0_14,171730.0
Manitoba,2021,Population_0_14,171278.0
Manitoba,2022,Population_0_14,171819.0
Manitoba,2023,Population_0_14,173661.0
New Brunswick,1976,Population_0_14,132931.0
New Brunswick,1977,Population_0_14,130460.0
New Brunswick,1978,Population_0_14,126511.0
New Brunswick,1979,Population_0_14,122368.0
New Brunswick,1980,Population_0_14,118695.0
New Brunswick,1981,Population_0_14,115755.0
New Brunswick,1982,Population_0_14,114056.0
New Brunswick,1983,Population_0_14,113759.0
New Brunswick,1984,Population_0_14,112836.0
New Brunswick,1985,Population_0_14,111285.0
New Brunswick,1986,Population_0_14,109081.0
New Brunswick,1987,Population_0_14,107713.0
New Brunswick,1988,Population_0_14,105669.0
New Brunswick,1989,Population_0_14,104488.0
New Brunswick,1990,Population_0_14,103677.0
New Brunswick,1991,Population_0_14,102514.0
New Brunswick,1992,Population_0_14,101436.0
New Brunswick,1993,Population_0_14,100803.0
New Brunswick,1994,Population_0_14,100012.0
New Brunswick,1995,Population_0_14,98338.0
New Brunswick,1996,Population_0_14,96533.0
New Brunswick,1997,Population_0_14,94438.0
New Brunswick,1998,Population_0_14,92179.0
New Brunswick,1999,Population_0_14,90273.0
New Brunswick,2000,Population_0_14,88749.0
New Brunswick,2001,Population_0_14,87104.0
New Brunswick,2002,Population_0_14,85902.0
New Brunswick,2003,Population_0_14,84872.0
New Brunswick,2004,Population_0_14,83913.0
New Brunswick,2005,Population_0_14,81995.0
New Brunswick,2006,Population_0_14,79946.0
New Brunswick,2007,Population_0_14,78928.0
New Brunswick,2008,Population_0_14,78218.0
New Brunswick,2009,Population_0_14,77592.0
New Brunswick,2010,Population_0_14,77305.0
New Brunswick,2011,Population_0_14,76369.0
New Brunswick,2012,Population_0_14,75952.0
New Brunswick,2013,Population_0_14,74784.0
New Brunswick,2014,Population_0_14,73940.0
New Brunswick,2015,Population_0_14,72649.0
New Brunswick,2016,Population_0_14,72727.0
New Brunswick,2017,Population_0_14,72617.0
New Brunswick,2018,Population_0_14,72932.0
New Brunswick,2019,Population_0_14,73320.0
New Brunswick,2020,Population_0_14,73547.0
New Brunswick,2021,Population_0_14,73542.0
New Brunswick,2022,Population_0_14,75060.0
New Brunswick,2023,Population_0_14,76865.0
Newfoundland and Labrador,1976,Population_0_14,125250.0
Newfoundland and Labrador,1977,Population_0_14,123273.0
Newfoundland and Labrador,1978,Population_0_14,121020.0
Newfoundland and Labrador,1979,Population_0_14,117955.0
Newfoundland and Labrador,1980,Population_0_14,114545.0
Newfoundland and Labrador,1981,Population_0_14,111152.0
Newfoundland and Labrador,1982,Population_0_14,109112.0
Newfoundland and Labrador,1983,Population_0_14,107828.0
Newfoundland and Labrador,1984,Population_0_14,105350.0
Newfoundland and Labrador,1985,Population_0_14,102232.0
Newfoundland and Labrador,1986,Population_0_14,99145.0
Newfoundland and Labrador,1987,Population_0_14,96082.0
Newfoundland and Labrador,1988,Population_0_14,93003.0
Newfoundland and Labrador,1989,Population_0_14,90149.0
Newfoundland and Labrador,1990,Population_0_14,87814.0
Newfoundland and Labrador,1991,Population_0_14,85320.0
Newfoundland and Labrador,1992,Population_0_14,83915.0
Newfoundland and Labrador,1993,Population_0_14,82475.0
Newfoundland and Labrador,1994,Population_0_14,80087.0
Newfoundland and Labrador,1995,Population_0_14,76616.0
Newfoundland and Labrador,1996,Population_0_14,73225.0
Newfoundland and Labrador,1997,Population_0_14,69965.0
Newfoundland and Labrador,1998,Population_0_14,66693.0
