GEO,year,variable,value
Alberta,1976-01,Population_0_14,343036.0
Alberta,1976-02,Population_0_14,343036.0
Alberta,1976-03,Population_0_14,343036.0
Alberta,1976-04,Population_0_14,343036.0
Alberta,1976-05,Population_0_14,343036.0
Alberta,1976-06,Population_0_14,343036.0
Alberta,1976-07,Population_0_14,343036.0
Alberta,1976-08,Population_0_14,343036.0
Alberta,1976-09,Population_0_14,343036.0
Alberta,1976-10,Population_0_14,343036.0
Alberta,1976-11,Population_0_14,343036.0
Alberta,1976-12,Population_0_14,343036.0
Alberta,1977-01,Population_0_14,344571.0
Alberta,1977-02,Population_0_14,344571.0
Alberta,1977-03,Population_0_14,344571.0
Alberta,1977-04,Population_0_14,344571.0
Alberta,1977-05,Population_0_14,344571.0
Alberta,1977-06,Population_0_14,344571.0
Alberta,1977-07,Population_0_14,344571.0
Alberta,1977-08,Population_0_14,344571.0
Alberta,1977-09,Population_0_14,344571.0
Alberta,1977-10,Population_0_14,344571.0
Alberta,1977-11,Population_0_14,344571.0
Alberta,1977-12,Population_0_14,344571.0
Alberta,1978-01,Population_0_14,345699.0
Alberta,1978-02,Population_0_14,345699.0
Alberta,1978-03,Population_0_14,345699.0
Alberta,1978-04,Population_0_14,345699.0
Alberta,1978-05,Population_0_14,345699.0
Alberta,1978-06,Population_0_14,345699.0
Alberta,1978-07,Population_0_14,345699.0
Alberta,1978-08,Population_0_14,345699.0
Alberta,1978-09,Population_0_14,345699.0
Alberta,1978-10,Population_0_14,345699.0
Alberta,1978-11,Population_0_14,345699.0
Alberta,1978-12,Population_0_14,345699.0
Alberta,1979-01,Population_0_14,349992.0
Alberta,1979-02,Population_0_14,349992.0
Alberta,1979-03,Population_0_14,349992.0
Alberta,1979-04,Population_0_14,349992.0
Alberta,1979-05,Population_0_14,349992.0
Alberta,1979-06,Population_0_14,349992.0
Alberta,1979-07,Population_0_14,349992.0
Alberta,1979-08,Population_0_14,349992.0
Alberta,1979-09,Population_0_14,349992.0
Alberta,1979-10,Population_0_14,349992.0
Alberta,1979-11,Population_0_14,349992.0
Alberta,1979-12,Population_0_14,349992.0
Alberta,1980-01,Population_0_14,360128.0
Alberta,1980-02,Population_0_14,360128.0
Alberta,1980-03,Population_0_14,360128.0
Alberta,1980-04,Population_0_14,360128.0
Alberta,1980-05,Population_0_14,360128.0
Alberta,1980-06,Population_0_14,360128.0
Alberta,1980-07,Population_0_14,360128.0
Alberta,1980-08,Population_0_14,360128.0
Alberta,1980-09,Population_0_14,360128.0
Alberta,1980-10,Population_0_14,360128.0
Alberta,1980-11,Population_0_14,360128.0
Alberta,1980-12,Population_0_14,360128.0
Alberta,1981-01,Population_0_14,371817.0
Alberta,1981-02,Population_0_14,371817.0
Alberta,1981-03,Population_0_14,371817.0
Alberta,1981-04,Population_0_14,371817.0
Alberta,1981-05,Population_0_14,371817.0
Alberta,1981-06,Population_0_14,371817.0
Alberta,1981-07,Population_0_14,371817.0
Alberta,1981-08,Population_0_14,371817.0
Alberta,1981-09,Population_0_14,371817.0
Alberta,1981-10,Population_0_14,371817.0
Alberta,1981-11,Population_0_14,371817.0
Alberta,1981-12,Population_0_14,371817.0
Alberta,1982-01,Population_0_14,381050.0
Alberta,1982-02,Population_0_14,381050.0
Alberta,1982-03,Population_0_14,381050.0
Alberta,1982-04,Population_0_14,381050.0
Alberta,1982-05,Population_0_14,381050.0
Alberta,1982-06,Population_0_14,381050.0
Alberta,1982-07,Population_0_14,381050.0
Alberta,1982-08,Population_0_14,381050.0
Alberta,1982-09,Population_0_14,381050.0
Alberta,1982-10,Population_0_14,381050.0
Alberta,1982-11,Population_0_14,381050.0
Alberta,1982-12,Population_0_14,381050.0
Alberta,1983-01,Population_0_14,385929.0
Alberta,1983-02,Population_0_14,385929.0
Alberta,1983-03,Population_0_14,385929.0
Alberta,1983-04,Population_0_14,385929.0
Alberta,1983-05,Population_0_14,385929.0
Alberta,1983-06,Population_0_14,385929.0
Alberta,1983-07,Population_0_14,385929.0
Alberta,1983-08,Population_0_14,385929.0
Alberta,1983-09,Population_0_14,385929.0
Alberta,1983-10,Population_0_14,385929.0
Alberta,1983-11,Population_0_14,385929.0
Alberta,1983-12,Population_0_14,385929.0
Alberta,1984-01,Population_0_14,385765.0
Alberta,1984-02,Population_0_14,385765.0
Alberta,1984-03,Population_0_14,385765.0
Alberta,1984-04,Population_0_14,385765.0
Alberta,1984-05,Population_0_14,385765.0
Alberta,1984-06,Population_0_14,385765.0
Alberta,1984-07,Population_0_14,385765.0
Alberta,1984-08,Population_0_14,385765.0
Alberta,1984-09,Population_0_14,385765.0
Alberta,1984-10,Population_0_14,385765.0
Alberta,1984-11,Population_0_14,385765.0
Alberta,1984-12,Population_0_14,385765.0
Alberta,1985-01,Population_0_14,384229.0
Alberta,1985-02,Population_0_14,384229.0
Alberta,1985-03,Population_0_14,384229.0
Alberta,1985-04,Population_0_14,384229.0
Alberta,1985-05,Population_0_14,384229.0
Alberta,1985-06,Population_0_14,384229.0
Alberta,1985-07,Population_0_14,384229.0
Alberta,1985-08,Population_0_14,384229.0
Alberta,1985-09,Population_0_14,384229.0
Alberta,1985-10,Population_0_14,384229.0
Alberta,1985-11,Population_0_14,384229.0
Alberta,1985-12,Population_0_14,384229.0
Alberta,1986-01,Population_0_14,383621.0
Alberta,1986-02,Population_0_14,383621.0
Alberta,1986-03,Population_0_14,383621.0
Alberta,1986-04,Population_0_14,383621.0
Alberta,1986-05,Population_0_14,383621.0
Alberta,1986-06,Population_0_14,383621.0
Alberta,1986-07,Population_0_14,383621.0
Alberta,1986-08,Population_0_14,383621.0
Alberta,1986-09,Population_0_14,383621.0
Alberta,1986-10,Population_0_14,383621.0
Alberta,1986-11,Population_0_14,383621.0
Alberta,1986-12,Population_0_14,383621.0
Alberta,1987-01,Population_0_14,383440.0
Alberta,1987-02,Population_0_14,383440.0
Alberta,1987-03,Population_0_14,383440.0
Alberta,1987-04,Population_0_14,383440.0
Alberta,1987-05,Population_0_14,383440.0
Alberta,1987-06,Population_0_14,383440.0
Alberta,1987-07,Population_0_14,383440.0
Alberta,1987-08,Population_0_14,383440.0
Alberta,1987-09,Population_0_14,383440.0
Alberta,1987-10,Population_0_14,383440.0
Alberta,1987-11,Population_0_14,383440.0
Alberta,1987-12,Population_0_14,383440.0
Alberta,1988-01,Population_0_14,382814.0
Alberta,1988-02,Population_0_14,382814.0
Alberta,1988-03,Population_0_14,382814.0
Alberta,1988-04,Population_0_14,382814.0
Alberta,1988-05,Population_0_14,382814.0
Alberta,1988-06,Population_0_14,382814.0
Alberta,1988-07,Population_0_14,382814.0
Alberta,1988-08,Population_0_14,382814.0
Alberta,1988-09,Population_0_14,382814.0
Alberta,1988-10,Population_0_14,382814.0
Alberta,1988-11,Population_0_14,382814.0
Alberta,1988-12,Population_0_14,382814.0
Alberta,1989-01,Population_0_14,388490.0
Alberta,1989-02,Population_0_14,388490.0
Alberta,1989-03,Population_0_14,388490.0
Alberta,1989-04,Population_0_14,388490.0
Alberta,1989-05,Population_0_14,388490.0
Alberta,1989-06,Population_0_14,388490.0
Alberta,1989-07,Population_0_14,388490.0
Alberta,1989-08,Population_0_14,388490.0
Alberta,1989-09,Population_0_14,388490.0
Alberta,1989-10,Population_0_14,388490.0
Alberta,1989-11,Population_0_14,388490.0
Alberta,1989-12,Population_0_14,388490.0
Alberta,1990-01,Population_0_14,395155.0
Alberta,1990-02,Population_0_14,395155.0
Alberta,1990-03,Population_0_14,395155.0
Alberta,1990-04,Population_0_14,395155.0
Alberta,1990-05,Population_0_14,395155.0
Alberta,1990-06,Population_0_14,395155.0
Alberta,1990-07,Population_0_14,395155.0
Alberta,1990-08,Population_0_14,395155.0
Alberta,1990-09,Population_0_14,395155.0
Alberta,1990-10,Population_0_14,395155.0
Alberta,1990-11,Population_0_14,395155.0
Alberta,1990-12,Population_0_14,395155.0
Alberta,1991-01,Population_0_14,400358.0
Alberta,1991-02,Population_0_14,400358.0
Alberta,1991-03,Population_0_14,400358.0
Alberta,1991-04,Population_0_14,400358.0
Alberta,1991-05,Population_0_14,400358.0
Alberta,1991-06,Population_0_14,400358.0
Alberta,1991-07,Population_0_14,400358.0
Alberta,1991-08,Population_0_14,400358.0
Alberta,1991-09,Population_0_14,400358.0
Alberta,1991-10,Population_0_14,400358.0
Alberta,1991-11,Population_0_14,400358.0
Alberta,1991-12,Population_0_14,400358.0
Alberta,1992-01,Population_0_14,407328.0
Alberta,1992-02,Population_0_14,407328.0
Alberta,1992-03,Population_0_14,407328.0
Alberta,1992-04,Population_0_14,407328.0
Alberta,1992-05,Population_0_14,407328.0
Alberta,1992-06,Population_0_14,407328.0
Alberta,1992-07,Population_0_14,407328.0
Alberta,1992-08,Population_0_14,407328.0
Alberta,1992-09,Population_0_14,407328.0
Alberta,1992-10,Population_0_14,407328.0
Alberta,1992-11,Population_0_14,407328.0
Alberta,1992-12,Population_0_14,407328.0
Alberta,1993-01,Population_0_14,412108.0
Alberta,1993-02,Population_0_14,412108.0
Alberta,1993-03,Population_0_14,412108.0
Alberta,1993-04,Population_0_14,412108.0
Alberta,1993-05,Population_0_14,412108.0
Alberta,1993-06,Population_0_14,412108.0
Alberta,1993-07,Population_0_14,412108.0
Alberta,1993-08,Population_0_14,412108.0
Alberta,1993-09,Population_0_14,412108.0
Alberta,1993-10,Population_0_14,412108.0
Alberta,1993-11,Population_0_14,412108.0
Alberta,1993-12,Population_0_14,412108.0
Alberta,1994-01,Population_0_14,413624.0
Alberta,1994-02,Population_0_14,413624.0
Alberta,1994-03,Population_0_14,413624.0
Alberta,1994-04,Population_0_14,413624.0
Alberta,1994-05,Population_0_14,413624.0
Alberta,1994-06,Population_0_14,413624.0
Alberta,1994-07,Population_0_14,413624.0
Alberta,1994-08,Population_0_14,413624.0
Alberta,1994-09,Population_0_14,413624.0
Alberta,1994-10,Population_0_14,413624.0
Alberta,1994-11,Population_0_14,413624.0
Alberta,1994-12,Population_0_14,413624.0
Alberta,1995-01,Population_0_14,412458.0
Alberta,1995-02,Population_0_14,412458.0
Alberta,1995-03,Population_0_14,412458.0
Alberta,1995-04,Population_0_14,412458.0
Alberta,1995-05,Population_0_14,412458.0
Alberta,1995-06,Population_0_14,412458.0
Alberta,1995-07,Population_0_14,412458.0
Alberta,1995-08,Population_0_14,412458.0
Alberta,1995-09,Population_0_14,412458.0
Alberta,1995-10,Population_0_14,412458.0
Alberta,1995-11,Population_0_14,412458.0
Alberta,1995-12,Population_0_14,412458.0
Alberta,1996-01,Population_0_14,412073.0
Alberta,1996-02,Population_0_14,412073.0
Alberta,1996-03,Population_0_14,412073.0
Alberta,1996-04,Population_0_14,412073.0
Alberta,1996-05,Population_0_14,412073.0
Alberta,1996-06,Population_0_14,412073.0
Alberta,1996-07,Population_0_14,412073.0
Alberta,1996-08,Population_0_14,412073.0
Alberta,1996-09,Population_0_14,412073.0
Alberta,1996-10,Population_0_14,412073.0
Alberta,1996-11,Population_0_14,412073.0
Alberta,1996-12,Population_0_14,412073.0
Alberta,1997-01,Population_0_14,412660.0
Alberta,1997-02,Population_0_14,412660.0
Alberta,1997-03,Population_0_14,412660.0
Alberta,1997-04,Population_0_14,412660.0
Alberta,1997-05,Population_0_14,412660.0
Alberta,1997-06,Population_0_14,412660.0
Alberta,1997-07,Population_0_14,412660.0
Alberta,1997-08,Population_0_14,412660.0
Alberta,1997-09,Population_0_14,412660.0
Alberta,1997-10,Population_0_14,412660.0
Alberta,1997-11,Population_0_14,412660.0
Alberta,1997-12,Population_0_14,412660.0
Alberta,1998-01,Population_0_14,414765.0
Alberta,1998-02,Population_0_14,414765.0
Alberta,1998-03,Population_0_14,414765.0
Alberta,1998-04,Population_0_14,414765.0
Alberta,1998-05,Population_0_14,414765.0
Alberta,1998-06,Population_0_14,414765.0
Alberta,1998-07,Population_0_14,414765.0
Alberta,1998-08,Population_0_14,414765.0
Alberta,1998-09,Population_0_14,414765.0
Alberta,1998-10,Population_0_14,414765.0
Alberta,1998-11,Population_0_14,414765.0
Alberta,1998-12,Population_0_14,414765.0
Alberta,1999-01,Population_0_14,415510.0
Alberta,1999-02,Population_0_14,415510.0
Alberta,1999-03,Population_0_14,415510.0
Alberta,1999-04,Population_0_14,415510.0
Alberta,1999-05,Population_0_14,415510.0
Alberta,1999-06,Population_0_14,415510.0
Alberta,1999-07,Population_0_14,415510.0
Alberta,1999-08,Population_0_14,415510.0
Alberta,1999-09,Population_0_14,415510.0
Alberta,1999-10,Population_0_14,415510.0
Alberta,1999-11,Population_0_14,415510.0
Alberta,1999-12,Population_0_14,415510.0
Alberta,2000-01,Population_0_14,416708.0
Alberta,2000-02,Population_0_14,416708.0
Alberta,2000-03,Population_0_14,416708.0
Alberta,2000-04,Population_0_14,416708.0
Alberta,2000-05,Population_0_14,416708.0
Alberta,2000-06,Population_0_14,416708.0
Alberta,2000-07,Population_0_14,416708.0
Alberta,2000-08,Population_0_14,416708.0
Alberta,2000-09,Population_0_14,416708.0
Alberta,2000-10,Population_0_14,416708.0
