GEO,year,variable,value
Alberta,1976,parttime,145633.23475987773
Alberta,1977,parttime,150392.68398484957
Alberta,1978,parttime,162423.40166085155
Alberta,1979,parttime,162175.7383675885
Alberta,1980,parttime,172248.07260318488
Alberta,1981,parttime,184243.79026343155
Alberta,1982,parttime,192377.93528007047
Alberta,1983,parttime,211334.89820050448
Alberta,1984,parttime,220914.4161990408
Alberta,1985,parttime,229218.7629166293
Alberta,1986,parttime,227362.80564000015
Alberta,1987,parttime,235772.43382305265
Alberta,1988,parttime,240984.7822935744
Alberta,1989,parttime,246500.8347835863
Alberta,1990,parttime,247156.15808838292
Alberta,1991,parttime,253351.64018835625
Alberta,1992,parttime,270614.5250226981
Alberta,1993,parttime,284587.31370534527
Alberta,1994,parttime,292124.9149016702
Alberta,1995,parttime,300026.8923782137
Alberta,1996,parttime,299169.8936624752
Alberta,1997,parttime,306855.8677112837
Alberta,1998,parttime,323920.4091439015
Alberta,1999,parttime,332323.69845500455
Alberta,2000,parttime,327079.23955842294
Alberta,2001,parttime,329028.31379677565
Alberta,2002,parttime,332597.61134944257
Alberta,2003,parttime,346930.33246879064
Alberta,2004,parttime,355481.0545064368
Alberta,2005,parttime,347624.05831651064
Alberta,2006,parttime,340813.93972459104
Alberta,2007,parttime,346609.5858641601
Alberta,2008,parttime,362349.1367215588
Alberta,2009,parttime,398773.1028795019
Alberta,2010,parttime,395172.66768951
Alberta,2011,parttime,396732.0336809068
Alberta,2012,parttime,391546.3261121428
Alberta,2013,parttime,390200.8898857086
Alberta,2014,parttime,412112.1570738614
Alberta,2015,parttime,433821.9728978863
Alberta,2016,parttime,462540.1416648439
Alberta,2017,parttime,462774.902800808
Alberta,2018,parttime,453993.6150613191
Alberta,2019,parttime,462275.1372790436
Alberta,2020,parttime,425121.7700141767
Alberta,2021,parttime,465559.87559084
Alberta,2022,parttime,483215.43390333
Alberta,2023,parttime,508120.5140006525
British Columbia,1976,parttime,180443.72665778856
British Columbia,1977,parttime,187606.20800515212
British Columbia,1978,parttime,191042.54167564888
British Columbia,1979,parttime,207974.4941042345
British Columbia,1980,parttime,235298.723115751
British Columbia,1981,parttime,245073.7707835509
British Columbia,1982,parttime,249344.1301429812
British Columbia,1983,parttime,271140.6409976113
British Columbia,1984,parttime,266849.9650407248
British Columbia,1985,parttime,275975.9758909833
British Columbia,1986,parttime,293788.82473232434
British Columbia,1987,parttime,294516.22108448256
British Columbia,1988,parttime,306503.25021703186
British Columbia,1989,parttime,297299.3904326179
British Columbia,1990,parttime,311962.6272278257
British Columbia,1991,parttime,342275.8266098849
British Columbia,1992,parttime,352176.92784633057
British Columbia,1993,parttime,365558.25672837306
British Columbia,1994,parttime,404993.9487200822
British Columbia,1995,parttime,394634.34975451103
British Columbia,1996,parttime,405843.8388716868
British Columbia,1997,parttime,430028.15325563547
British Columbia,1998,parttime,442216.330804868
British Columbia,1999,parttime,450535.6843162564
British Columbia,2000,parttime,440144.7116363938
British Columbia,2001,parttime,446258.98726632894
British Columbia,2002,parttime,491079.0980448877
British Columbia,2003,parttime,492014.8047872006
British Columbia,2004,parttime,468418.8540899226
British Columbia,2005,parttime,473529.3375590642
British Columbia,2006,parttime,486115.41144148674
British Columbia,2007,parttime,498720.8466329823
British Columbia,2008,parttime,500340.94415811327
British Columbia,2009,parttime,529536.0648370066
British Columbia,2010,parttime,541349.9843950437
British Columbia,2011,parttime,553191.9728751091
British Columbia,2012,parttime,544943.5544166011
British Columbia,2013,parttime,543902.1886971511
British Columbia,2014,parttime,554672.2438739686
British Columbia,2015,parttime,529164.2072518144
British Columbia,2016,parttime,575627.1191352885
British Columbia,2017,parttime,596967.109875654
British Columbia,2018,parttime,603427.4185941769
British Columbia,2019,parttime,635679.0215406922
British Columbia,2020,parttime,575750.0771182919
British Columbia,2021,parttime,635666.0763580255
British Columbia,2022,parttime,627424.9516880652
British Columbia,2023,parttime,627862.3303106482
Manitoba,1976,parttime,70919.10346258669
Manitoba,1977,parttime,76626.25111321708
Manitoba,1978,parttime,80208.92928349474
Manitoba,1979,parttime,83303.05419034962
Manitoba,1980,parttime,88349.37678957244
Manitoba,1981,parttime,89956.92491645289
Manitoba,1982,parttime,96517.39384296192
Manitoba,1983,parttime,101038.05949366638
Manitoba,1984,parttime,103051.62536204708
Manitoba,1985,parttime,101444.74665918398
Manitoba,1986,parttime,106969.3503794114
Manitoba,1987,parttime,110168.0794468657
Manitoba,1988,parttime,111900.4000454686
Manitoba,1989,parttime,114142.28374220284
Manitoba,1990,parttime,119486.0181786931
Manitoba,1991,parttime,126922.53284245582
Manitoba,1992,parttime,127329.26438197284
Manitoba,1993,parttime,128106.12815826733
Manitoba,1994,parttime,124283.79054277609
Manitoba,1995,parttime,123999.93992288609
Manitoba,1996,parttime,126461.81597844911
Manitoba,1997,parttime,122538.09508801572
Manitoba,1998,parttime,120228.35778323562
Manitoba,1999,parttime,122954.4458701808
Manitoba,2000,parttime,120846.41437551891
Manitoba,2001,parttime,122824.47418178985
Manitoba,2002,parttime,130550.87245491758
Manitoba,2003,parttime,129388.3736978174
Manitoba,2004,parttime,127833.5087153308
Manitoba,2005,parttime,131088.02121136073
Manitoba,2006,parttime,133615.3378805678
Manitoba,2007,parttime,132464.35247337542
Manitoba,2008,parttime,133054.3660009124
Manitoba,2009,parttime,134105.7163892887
Manitoba,2010,parttime,138562.27088700773
Manitoba,2011,parttime,139824.2912525764
Manitoba,2012,parttime,139833.7004952976
Manitoba,2013,parttime,142072.77878420232
Manitoba,2014,parttime,139210.39927521336
Manitoba,2015,parttime,140672.52435393937
Manitoba,2016,parttime,143784.3206786284
Manitoba,2017,parttime,145492.8147803003
Manitoba,2018,parttime,149421.83004013222
Manitoba,2019,parttime,151012.73586976549
Manitoba,2020,parttime,141112.51099228012
Manitoba,2021,parttime,140272.89970106844
Manitoba,2022,parttime,148063.35061962472
Manitoba,2023,parttime,147886.01490729526
New Brunswick,1976,parttime,29431.07530823635
New Brunswick,1977,parttime,30564.87549450736
New Brunswick,1978,parttime,32644.02899217409
New Brunswick,1979,parttime,37676.06058061001
New Brunswick,1980,parttime,38724.84272418667
New Brunswick,1981,parttime,42857.50504996302
New Brunswick,1982,parttime,44120.75800011035
New Brunswick,1983,parttime,47488.31005262624
New Brunswick,1984,parttime,46595.847257553934
New Brunswick,1985,parttime,48334.18463666223
New Brunswick,1986,parttime,50267.4591002191
New Brunswick,1987,parttime,50318.94535098525
New Brunswick,1988,parttime,53270.40732735748
New Brunswick,1989,parttime,53012.70441416086
New Brunswick,1990,parttime,53616.96933799949
New Brunswick,1991,parttime,54798.1569986694
New Brunswick,1992,parttime,55832.75360000227
New Brunswick,1993,parttime,57587.5100207704
New Brunswick,1994,parttime,56778.55428304646
New Brunswick,1995,parttime,57508.823125586896
New Brunswick,1996,parttime,58637.921511011904
New Brunswick,1997,parttime,58267.14507456015
New Brunswick,1998,parttime,56596.77194233722
New Brunswick,1999,parttime,58541.87808085045
New Brunswick,2000,parttime,56428.75749470634
New Brunswick,2001,parttime,54669.483159649855
New Brunswick,2002,parttime,59482.12910009117
New Brunswick,2003,parttime,58568.86746436448
New Brunswick,2004,parttime,61352.1887451576
New Brunswick,2005,parttime,62905.673927683005
New Brunswick,2006,parttime,62701.45947078683
New Brunswick,2007,parttime,63436.34758764412
New Brunswick,2008,parttime,62933.38903123564
New Brunswick,2009,parttime,64130.52689582527
New Brunswick,2010,parttime,60925.936823640535
New Brunswick,2011,parttime,64566.41506967624
New Brunswick,2012,parttime,61072.96351505032
New Brunswick,2013,parttime,62779.52508792847
New Brunswick,2014,parttime,62318.25115796199
New Brunswick,2015,parttime,59981.64133017561
New Brunswick,2016,parttime,63033.15962087527
New Brunswick,2017,parttime,58967.618295799446
New Brunswick,2018,parttime,58780.38005209557
New Brunswick,2019,parttime,61003.31553423237
New Brunswick,2020,parttime,56769.46392220025
New Brunswick,2021,parttime,61903.56067318518
New Brunswick,2022,parttime,58618.932937635655
New Brunswick,2023,parttime,64409.29482426219
Newfoundland and Labrador,1976,parttime,14406.66418362941
Newfoundland and Labrador,1977,parttime,15343.68559937378
Newfoundland and Labrador,1978,parttime,16574.392948571633
Newfoundland and Labrador,1979,parttime,18274.272337061044
Newfoundland and Labrador,1980,parttime,18771.2842297557
Newfoundland and Labrador,1981,parttime,19047.835807389267
Newfoundland and Labrador,1982,parttime,20339.56919966065
Newfoundland and Labrador,1983,parttime,22810.38785506712
Newfoundland and Labrador,1984,parttime,23012.303657104178
Newfoundland and Labrador,1985,parttime,24739.79656825372
Newfoundland and Labrador,1986,parttime,24775.684303058988
Newfoundland and Labrador,1987,parttime,25755.88774820365
Newfoundland and Labrador,1988,parttime,26755.57109401964
Newfoundland and Labrador,1989,parttime,29054.323941257564
Newfoundland and Labrador,1990,parttime,28550.12811913829
Newfoundland and Labrador,1991,parttime,30633.50324255194
Newfoundland and Labrador,1992,parttime,31789.616183261485
