GEO,year,variable,value
Alberta,1976-01,parttime,150389.5792276964
Alberta,1976-02,parttime,150130.83766536965
Alberta,1976-03,parttime,153869.5490859309
Alberta,1976-04,parttime,148813.8700729927
Alberta,1976-05,parttime,145091.32720979193
Alberta,1976-06,parttime,139523.30236159815
Alberta,1976-07,parttime,136825.18577998944
Alberta,1976-08,parttime,139742.39077189512
Alberta,1976-09,parttime,144175.60706570756
Alberta,1976-10,parttime,145750.91170141724
Alberta,1976-11,parttime,147214.4612998523
Alberta,1976-12,parttime,146603.16048508303
Alberta,1977-01,parttime,148350.8992974239
Alberta,1977-02,parttime,148965.99883432902
Alberta,1977-03,parttime,137386.13039059096
Alberta,1977-04,parttime,147160.6875406754
Alberta,1977-05,parttime,147709.9920846226
Alberta,1977-06,parttime,150324.57617887345
Alberta,1977-07,parttime,156769.73342936244
Alberta,1977-08,parttime,155533.66186590987
Alberta,1977-09,parttime,154976.73467081095
Alberta,1977-10,parttime,152093.72158827013
Alberta,1977-11,parttime,149120.54404036156
Alberta,1977-12,parttime,155755.87012987013
Alberta,1978-01,parttime,159554.11873479318
Alberta,1978-02,parttime,166330.98075325394
Alberta,1978-03,parttime,163779.4737495688
Alberta,1978-04,parttime,171169.80886902715
Alberta,1978-05,parttime,165289.63987402435
Alberta,1978-06,parttime,163211.09270299692
Alberta,1978-07,parttime,162030.73398630056
Alberta,1978-08,parttime,161101.3106572897
Alberta,1978-09,parttime,160934.4796227686
Alberta,1978-10,parttime,156632.29542046998
Alberta,1978-11,parttime,157887.1738345261
Alberta,1978-12,parttime,161496.11292580495
Alberta,1979-01,parttime,165754.3221565633
Alberta,1979-02,parttime,156200.57191984658
Alberta,1979-03,parttime,162128.96867344092
Alberta,1979-04,parttime,162746.5930934874
Alberta,1979-05,parttime,164032.43407707912
Alberta,1979-06,parttime,164100.9492816577
Alberta,1979-07,parttime,159150.8890392471
Alberta,1979-08,parttime,160894.153298626
Alberta,1979-09,parttime,163947.4827497425
Alberta,1979-10,parttime,162949.00973326166
Alberta,1979-11,parttime,161752.72592781534
Alberta,1979-12,parttime,162432.0584698058
Alberta,1980-01,parttime,172695.9345049943
Alberta,1980-02,parttime,176562.70036533131
Alberta,1980-03,parttime,177413.7783356345
